 Case_ID  IEC  AeroDyn15      ElastoDyn           ElastoDyn           ElastoDyn       ElastoDyn  ElastoDyn      ElastoDyn       ElastoDyn     Fst      Fst     Fst       Fst       Fst    Fst                                              InflowWind                                                                                     InflowWind                                           InflowWind  InflowWind    ServoDyn     ServoDyn     ServoDyn                             ServoDyn                            ServoDyn  ServoDyn    ServoDyn      ServoDyn      ServoDyn     ServoDyn   ServoDyn   ServoDyn  ServoDyn 
          DLC  AFAeroMod       BlPitch1            BlPitch2            BlPitch3         GenDOF     NacYaw        RotSpeed         YawDOF   CompElast    DT    DT_Out  OutFileFmt   TMax  TStart                                           FileName_BTS                                                                                   Filename_Uni                                          RefLength    WindType   BlPitchF(1)  BlPitchF(2)  BlPitchF(3)                          DLL_FileName                          GenTiStp   PCMode   PitManRat(1)  PitManRat(2)  PitManRat(3)  TPitManS1  TPitManS2  TPitManS3  TimGenOf 
    9     1.1      2             0.0                 0.0                 0.0             True       0.0            4.88           False        2      0.0002   0.2        2       720.0  120.0    /lustre/eaglefs/projects/bar/pbortolo/outputs/wind/wind_BAR3/BAR3_NTM_U5.000000_Seed4.0.bts    /lustre/eaglefs/projects/bar/pbortolo/outputs/wind/wind_BAR3/BAR3_NTM_U5.000000_Seed4.0.bts     206.0         3           0.0          0.0          0.0      /home/pbortolo/wisdem_1_0_0/ROSCO_fork/build/libdiscon_uw.so    True       5          2.0           2.0           2.0         9999.9     9999.9     9999.9    9999.9  
    10    1.1      2             0.0                 0.0                 0.0             True       0.0            4.88           False        2      0.0002   0.2        2       720.0  120.0    /lustre/eaglefs/projects/bar/pbortolo/outputs/wind/wind_BAR3/BAR3_NTM_U5.000000_Seed5.0.bts    /lustre/eaglefs/projects/bar/pbortolo/outputs/wind/wind_BAR3/BAR3_NTM_U5.000000_Seed5.0.bts     206.0         3           0.0          0.0          0.0      /home/pbortolo/wisdem_1_0_0/ROSCO_fork/build/libdiscon_uw.so    True       5          2.0           2.0           2.0         9999.9     9999.9     9999.9    9999.9  
    11    1.1      2             0.0                 0.0                 0.0             True       0.0            4.88           False        2      0.0002   0.2        2       720.0  120.0    /lustre/eaglefs/projects/bar/pbortolo/outputs/wind/wind_BAR3/BAR3_NTM_U5.000000_Seed6.0.bts    /lustre/eaglefs/projects/bar/pbortolo/outputs/wind/wind_BAR3/BAR3_NTM_U5.000000_Seed6.0.bts     206.0         3           0.0          0.0          0.0      /home/pbortolo/wisdem_1_0_0/ROSCO_fork/build/libdiscon_uw.so    True       5          2.0           2.0           2.0         9999.9     9999.9     9999.9    9999.9  
    12    1.1      2             0.0                 0.0                 0.0             True       0.0            6.81           False        2      0.0002   0.2        2       720.0  120.0    /lustre/eaglefs/projects/bar/pbortolo/outputs/wind/wind_BAR3/BAR3_NTM_U7.000000_Seed1.0.bts    /lustre/eaglefs/projects/bar/pbortolo/outputs/wind/wind_BAR3/BAR3_NTM_U7.000000_Seed1.0.bts     206.0         3           0.0          0.0          0.0      /home/pbortolo/wisdem_1_0_0/ROSCO_fork/build/libdiscon_uw.so    True       5          2.0           2.0           2.0         9999.9     9999.9     9999.9    9999.9  
    13    1.1      2             0.0                 0.0                 0.0             True       0.0            6.81           False        2      0.0002   0.2        2       720.0  120.0    /lustre/eaglefs/projects/bar/pbortolo/outputs/wind/wind_BAR3/BAR3_NTM_U7.000000_Seed2.0.bts    /lustre/eaglefs/projects/bar/pbortolo/outputs/wind/wind_BAR3/BAR3_NTM_U7.000000_Seed2.0.bts     206.0         3           0.0          0.0          0.0      /home/pbortolo/wisdem_1_0_0/ROSCO_fork/build/libdiscon_uw.so    True       5          2.0           2.0           2.0         9999.9     9999.9     9999.9    9999.9  
    14    1.1      2             0.0                 0.0                 0.0             True       0.0            6.81           False        2      0.0002   0.2        2       720.0  120.0    /lustre/eaglefs/projects/bar/pbortolo/outputs/wind/wind_BAR3/BAR3_NTM_U7.000000_Seed3.0.bts    /lustre/eaglefs/projects/bar/pbortolo/outputs/wind/wind_BAR3/BAR3_NTM_U7.000000_Seed3.0.bts     206.0         3           0.0          0.0          0.0      /home/pbortolo/wisdem_1_0_0/ROSCO_fork/build/libdiscon_uw.so    True       5          2.0           2.0           2.0         9999.9     9999.9     9999.9    9999.9  
    15    1.1      2             0.0                 0.0                 0.0             True       0.0            6.81           False        2      0.0002   0.2        2       720.0  120.0    /lustre/eaglefs/projects/bar/pbortolo/outputs/wind/wind_BAR3/BAR3_NTM_U7.000000_Seed4.0.bts    /lustre/eaglefs/projects/bar/pbortolo/outputs/wind/wind_BAR3/BAR3_NTM_U7.000000_Seed4.0.bts     206.0         3           0.0          0.0          0.0      /home/pbortolo/wisdem_1_0_0/ROSCO_fork/build/libdiscon_uw.so    True       5          2.0           2.0           2.0         9999.9     9999.9     9999.9    9999.9  
    16    1.1      2             0.0                 0.0                 0.0             True       0.0            6.81           False        2      0.0002   0.2        2       720.0  120.0    /lustre/eaglefs/projects/bar/pbortolo/outputs/wind/wind_BAR3/BAR3_NTM_U7.000000_Seed5.0.bts    /lustre/eaglefs/projects/bar/pbortolo/outputs/wind/wind_BAR3/BAR3_NTM_U7.000000_Seed5.0.bts     206.0         3           0.0          0.0          0.0      /home/pbortolo/wisdem_1_0_0/ROSCO_fork/build/libdiscon_uw.so    True       5          2.0           2.0           2.0         9999.9     9999.9     9999.9    9999.9  
    17    1.1      2             0.0                 0.0                 0.0             True       0.0            6.81           False        2      0.0002   0.2        2       720.0  120.0    /lustre/eaglefs/projects/bar/pbortolo/outputs/wind/wind_BAR3/BAR3_NTM_U7.000000_Seed6.0.bts    /lustre/eaglefs/projects/bar/pbortolo/outputs/wind/wind_BAR3/BAR3_NTM_U7.000000_Seed6.0.bts     206.0         3           0.0          0.0          0.0      /home/pbortolo/wisdem_1_0_0/ROSCO_fork/build/libdiscon_uw.so    True       5          2.0           2.0           2.0         9999.9     9999.9     9999.9    9999.9  
    18    1.1      2             2.93                2.93                2.93            True       0.0      7.83688622754491     False        2      0.0002   0.2        2       720.0  120.0    /lustre/eaglefs/projects/bar/pbortolo/outputs/wind/wind_BAR3/BAR3_NTM_U9.000000_Seed1.0.bts    /lustre/eaglefs/projects/bar/pbortolo/outputs/wind/wind_BAR3/BAR3_NTM_U9.000000_Seed1.0.bts     206.0         3           0.0          0.0          0.0      /home/pbortolo/wisdem_1_0_0/ROSCO_fork/build/libdiscon_uw.so    True       5          2.0           2.0           2.0         9999.9     9999.9     9999.9    9999.9  
